carpark_number,latitude,longitude,area
BJMP,1.3777664235348246,103.77351523338442,Bukit Panjang
BJ1,1.3739566801241183,103.769323020166,Bukit Panjang
BJ10,1.3789392866308572,103.77065516676868,Bukit Panjang
BJ11,1.380763687110144,103.77187994356323,Bukit Panjang
BJ12,1.3802532628105817,103.77448858908411,Bukit Panjang
BJ13,1.3770036224850966,103.7747788017754,Bukit Panjang
BJ14,1.3789869377958193,103.77352906342188,Bukit Panjang
BJ15,1.3774944817505004,103.77378188713288,Bukit Panjang
BJ16,1.3775065165718812,103.77362031087527,Bukit Panjang
BJ17,1.3812502325627385,103.76894572813356,Bukit Panjang
BJ18,1.3809699699980773,103.76811152657709,Bukit Panjang
BJ19,1.3840337588241158,103.76838389812862,Bukit Panjang
BJ2,1.3761350307538107,103.76666134027607,Bukit Panjang
BJ20,1.3860579471811627,103.7697816793337,Bukit Panjang
BJ21,1.385944779998901,103.77067200118962,Bukit Panjang
BJ22,1.3782937079787805,103.7735031038716,Bukit Panjang
BJ23,1.3776345511753283,103.77295108931864,Bukit Panjang
BJ24,1.383267483822887,103.7704682675234,Bukit Panjang
BJ25,1.384899130104688,103.77172518427912,Bukit Panjang
BJ26,1.3837968809199812,103.77270516995488,Bukit Panjang
BJ27,1.3826405383885652,103.77095043939003,Bukit Panjang
BJ28,1.378924834192695,103.76554600407248,Bukit Panjang
BJ29,1.3849380921344543,103.76768309160978,Bukit Panjang
BJ3,1.3773101941380146,103.76937734296403,Bukit Panjang
BJ30,1.3870292824106292,103.76897932907691,Bukit Panjang
BJ31,1.3879388940244703,103.76747797804018,Choa Chu Kang
BJ32,1.386563985722827,103.7669356490397,Choa Chu Kang
BJ33,1.3791195021651272,103.77201112714418,Bukit Panjang
BJ34,1.3877960606883657,103.76651781167334,Choa Chu Kang
BJ35,1.3870414895407563,103.76591367064565,Choa Chu Kang
BJ36,1.386270399087047,103.76533871621282,Choa Chu Kang
BJ37,1.3854321020503515,103.7646848754348,Choa Chu Kang
BJ38,1.3851366908698437,103.76342664649424,Choa Chu Kang
BJ39,1.384231797723518,103.76286006929934,Choa Chu Kang
BJ4,1.3755313767854005,103.77225793527452,Bukit Panjang
BJ40,1.3828257877526826,103.76290164919295,Choa Chu Kang
BJ41,1.37551205005209,103.76545448390728,Bukit Panjang
BJ42,1.3769212779575684,103.76428644466128,Bukit Panjang
BJ43,1.3817204459821768,103.7616776126488,Choa Chu Kang
