name,lat,lng,source
The Centrepoint,1.30169400006089,103.83979800004,OneMap
TripleOne Somerset,1.3003702,103.8373501,OSM
Winsland House,1.29962213758297,103.840286601208,OneMap
York Hotel,1.30727815075624,103.835434311651,OneMap
Chinatown Heritage Centre,1.28355661117313,103.844418732274,OneMap
Chinese Garden,1.34235282081401,103.732596738363,OneMap
Haw Par Villa,1.28372419675801,103.782403678661,OneMap
Hay Dairies Goat Farm,1.4320624,103.7095689,OSM
Jurong Bird Park,1.3207711,103.7079911,OSM
Memories at Old Ford Factory,1.35272673943699,103.768852965427,OneMap
Mount Faber (Jewel Box),1.27112383650233,103.819627686076,OneMap
National Museum of Singapore,1.29671990674531,103.848510920277,OneMap
Reflections at Bukit Chandu,1.27956281637785,103.794125975954,OneMap
Royal Selangor Pewter Museum ( Park at Clarke Quay),1.29031709810864,103.844960579846,OneMap
Sentosa (Beach and Imbiah car park),1.24680247796409,103.826350579504,OneMap
Sentosa (Tanjong & Palawan car park),1.24680247796409,103.826350579504,OneMap
Singapore Art Museum,1.29730056197454,103.850992050255,OneMap
Singapore Botanic Gardens,1.31420028050153,103.815958422447,OneMap
Singapore City Gallery (URA centre),1.27969177422242,103.845227197426,OneMap
Singapore Flyer,1.28907272663479,103.86292230709,OneMap
Singapore Mint Coin Gallery,1.32556100888637,103.739673887837,OneMap
Singapore Philatelic Museum,1.2928274,103.8487738,OSM
Singapore Turf Club (STC),1.42260081974821,103.762674152629,OneMap
Sungei Buloh Wetland Reserve,1.44535111253736,103.732143434175,OneMap
The Arts House (Park at New Parliament House),1.288646750725,103.851066305511,OneMap
10 Raeburn Park,1.27401870346014,103.834119351291,OneMap
1557 Keppel Road,1.27315824409663,103.840600122983,OneMap
34 Boon Leat Terrace,1.27604518583221,103.797187337697,OneMap
798 Upper Bukit Timah Road,1.3374912,103.7788623,OSM
8 Shenton Way,1.27576579650302,103.847236991881,OneMap
Amara Hotel,1.27492765838262,103.843549530562,OneMap
Asia Square,1.27894148629275,103.851256039975,OneMap
Bangkok Bank Building,1.2791683710435,103.847704975673,OneMap
Bayfront Avenue,1.28346618479588,103.860603437294,OneMap
Bugis Junction,1.29911287475873,103.855411173758,OneMap
Burlington Square,1.30224327074302,103.85270021499,OneMap
Capital Square,1.28428649466945,103.848384175565,OneMap
Capital Tower,1.27763073260823,103.847572724879,OneMap
Carlton Hotel,1.29566785883191,103.853025511846,OneMap
Central Mall,1.37286217975215,103.847644977493,OneMap
Central ©,1.3131814,103.8357465,OSM
Chijmes,1.29479670956332,103.852573366033,OneMap
China Square Central,1.2856566,103.8462571,OSM
Chinatown Point,1.28499882847401,103.844697081142,OneMap
Clarke Quay,1.289136974408,103.84201075936,OneMap
Conrad Centennial Singapore,1.2934372,103.8587733,OSM
Copthorne King's Hotel,1.28825972041875,103.836657784125,OneMap
DBS Building,1.2774157,103.8486797,OSM
Far East Square,1.28271456105962,103.848590125427,OneMap
Far Eastern Bank Building,1.28000865103067,103.848169919257,OneMap
Fortune Centre,1.30042241913975,103.852286627386,OneMap
Fu Lu Shou Complex,1.30151258571919,103.854497235401,OneMap
Fullerton Hotel,1.28622855041207,103.853028067544,OneMap
Furama City Centre Singapore,1.28647356558562,103.844588546607,OneMap
Furama Riverfront Singapore,1.28769285607795,103.836160045113,OneMap
Gallery Hotel,1.3154418,103.858989,OSM
Gillman Barracks,1.27747112358765,103.803472951619,OneMap
Golden Mile Complex,1.3027242,103.86508,OSM
Grand Copthorne Waterfront Hotel,1.29028193417518,103.835147954644,OneMap
Grand Pacific Hotel (Formerly Allson Hotel),1.29755506553528,103.852228303832,OneMap
Grand Park City Hall,1.29265080651399,103.850216934055,OneMap
Great Eastern Centre,1.28482340067593,103.847666278155,OneMap
Great World City,1.29342272650003,103.832022146655,OneMap
Holiday Inn Atrium Singapore,1.28896723470825,103.834188484711,OneMap
Hong Leong Building,1.28136359915756,103.850914468583,OneMap
Hub Synergy Point (Formerly Apex tower),1.27405327068656,103.84466726954,OneMap
Icon Village,1.2750829743256,103.844510150859,OneMap
International Plaza,1.27588674266836,103.845923793168,OneMap
Keck Seng Tower,1.28023616419184,103.849000148073,OneMap
Landmark Village Hotel,1.3016255,103.8574936,OSM
M Hotel,1.27368777727476,103.845060205824,OneMap
Mandarin Oriental Hotel,1.2906606,103.858324,OSM
Marina Bay Sands,1.28346618479588,103.860603437294,OneMap
Marina Mandarin Hotel,1.2906606,103.858324,OSM
Merchant Square,1.28887419724718,103.84349237417,OneMap
Millenia Walk (Basement Car Park),1.29260544462492,103.859724944443,OneMap
Millenia Walk (Surface parking @ L1),1.29260544462492,103.859724944443,OneMap
Neil Road Off-Street,1.27897240639768,103.842167836266,OneMap
North Bridge Centre,1.29719949216524,103.854944130225,OneMap
OCBC centre,1.31368473242983,103.810664448497,OneMap
One Fullerton,1.28618859279801,103.854157139967,OneMap
One Raffles Quay,1.28118178800653,103.851898734559,OneMap
OUE Bayfront (Formerly Overseas Union House),1.28316691041157,103.852968257556,OneMap
Pan Pacific Hotel,1.2923729031358,103.858804402552,OneMap
Parklane Shopping Mall,1.30064530196806,103.849448612005,OneMap
PARKROYAL on Beach Road,1.29971949507987,103.860829893192,OneMap
Peninsula Excelsior Hotel,1.2919459,103.8498204,OSM
People's Park Centre,1.28577009981805,103.843980122838,OneMap
Raffles Hotel,1.294801401498,103.854467487996,OneMap
Republic Plaza,1.28348363276903,103.850574036014,OneMap
Resorts World Sentosa,1.25493343878686,103.820219411086,OneMap
Robertson Walk,1.29186333652408,103.841359786872,OneMap
Robinson 77 (Formerly SIA Building),1.27775258405306,103.848429019412,OneMap
Robinson Centre,1.28214167321935,103.850754841091,OneMap
The Clementi Mall,1.31489619639366,103.764423054189,OneMap
"School of the Arts, Singapore (SOTA)",1.2990858,103.8490353,OSM
SGX Centre,1.27927719519316,103.849796993657,OneMap
Shenton House,1.27854512277704,103.850090039853,OneMap
Sim Lim Square,1.3030242605718,103.853037814067,OneMap
Sim Lim Tower,1.30377222122298,103.85466144692,OneMap
"Singapore General Hospital (Carpark C, E, G & I)",1.2793345730706,103.835249345493,OneMap
Singapore General Hospital (Multi-Storey Carpark H),1.2793345730706,103.835249345493,OneMap
Singapore Land Tower,1.28469478511339,103.852104296174,OneMap
Six Battery Road,1.28546633858293,103.851764064473,OneMap
Sunshine Plaza,1.30046735366415,103.850556061949,OneMap
Swissotel The Stamford Hotel,1.2933171,103.8533985,OSM
The Adelphi,1.29118503658447,103.851184338699,OneMap
The Concourse,1.3008178172824,103.861939079699,OneMap
The Esplanade,1.29020501088469,103.855566745359,OneMap
UE Square,1.2927319871783,103.842250095411,OneMap
UOB Plaza,1.28540656780796,103.850567541206,OneMap
Vivocity,1.26429316783973,103.82230469365,OneMap
27 West Coast Highway,1.28310671811168,103.780492258686,OneMap
798 Upper Bukit Timah Road,1.3374912,103.7788623,OSM
Alexandra Retail Centre,1.27414893629254,103.801399416665,OneMap
Anchorpoint Shopping Centre,1.28893477974497,103.805607779399,OneMap
Bukit Panjang Plaza,1.37992045176243,103.764357180314,OneMap
Bukit Timah Plaza (Multi-Storey Car Park),1.31643963008359,103.835487584433,OneMap
Bukit Timah Shopping Centre,1.34316475341698,103.776031354379,OneMap
Coronation Shopping Plaza,1.32383512178759,103.809999570047,OneMap
Holland Road Shopping Centre,1.31027747574118,103.795371163103,OneMap
IKEA (Alexandra),1.37412166439983,103.932414737025,OneMap
JCube,1.3333005,103.740197,OSM
Junction 10,1.38033681049385,103.760167883439,OneMap
Jurong Point Shopping Centre,1.3393832,103.7069935,OSM
Lot 1 Shopping Centre,1.3480397,103.7439249,OSM
NUH,1.29351287719231,103.784685581372,OneMap
Queensway Shopping Centre,1.28759518939869,103.803397287789,OneMap
Savoy Theatre,1.3473431,103.7119358,OSM
Serene Centre,1.32252464431529,103.813706529572,OneMap
The Metropolis,1.30624556811811,103.791237458059,OneMap
The Star Vista,1.30697044038323,103.788420274115,OneMap
Tiong Bahru Plaza,1.28645889472825,103.827015256194,OneMap
Turf City,1.340922,103.7943025,OSM
Valley Point,1.29380093107283,103.842145033288,OneMap
West Coast Plaza (Ginza Plaza),1.30369748971099,103.766131294678,OneMap
West Mall,1.35001920979845,103.749244800677,OneMap
Yew Tee Point,1.3971484,103.7465502,OSM
Hougang Plaza,1.37249118635803,103.893774066625,OneMap
The Verge,1.30462871949255,103.852226984633,OneMap
United Square Shopping Mall,1.31719450988559,103.843611443038,OneMap
Changi Airport - South Car Park (between T2 and JetQuay),1.35529943230217,103.989141952518,OneMap
Grand Mecure Roxy Hotel,1.30335696401522,103.904685504029,OneMap
Paramount Hotel,1.30356871693337,103.903021349832,OneMap
Conrad Centennial Hotel,1.2934372,103.8587733,OSM
Novotel Clarke Quay,1.31374818905898,103.82873559831,OneMap
Orchard Grand Court Hotel,1.2973547,103.8384605,OSM
Orchard Hotel Shopping Arcade,1.30762282594562,103.82859041681,OneMap
Regent Hotel,1.30465158301868,103.824907858738,OneMap
Swissotel Merchant Court Hotel,1.2882180283587,103.845692302876,OneMap
Traders Hotel,1.30427053823352,103.823912359581,OneMap
Paragon Shopping Centre,1.30387230879994,103.835857545469,OneMap
Resorts World Sentosa - Universal Studios Singapore (RWS B1 car park),1.25612091724175,103.822537262388,OneMap
Singapore Science centre/Singapore Discovery Centre / Snow City,1.33283873321146,103.735820581071,OneMap
Singapore Zoological gardens/Night Safari,1.40559439269495,103.789598292943,OneMap
The Battle Box ( Park at Fort Canning,1.296123,103.8462345,OSM
CapitaCommercial Trust (CCT),1.28390006495234,103.850005961205,OneMap
Funan DigitaLife Mall,1.29161270605129,103.849478850252,OneMap
Golden Shoe Complex,1.28390006495234,103.850005961205,OneMap
Iluma,1.29960368990297,103.854242347489,OneMap
Inter-continental Singapore Hotel,1.29004703709958,103.838613292488,OneMap
Keppel Bay Tower / Harbourfront Tower One,1.26484283775536,103.818290657169,OneMap
Keypoint,1.3132174360132,103.860335049351,OneMap
Liang Court,1.29155320677629,103.844671834054,OneMap
"Marina Bay Financial Centre Tower 1, 2 ,3 & Marina Bay Link Mall",1.27998145046296,103.854188393989,OneMap
OUB Centre,1.28434954622306,103.851072545834,OneMap
Peninsular Plaza,1.29231742228801,103.850803179769,OneMap
PoMo (Fomerly Paradiz Centre),1.30010826723486,103.849264127911,OneMap
