CarParkID,Area,Development,Location,AvailableLots,LotType,Agency
P0075,,PENHAS ROAD - LAVENDER STREET OFF STREET,1.3099941806456645 103.86276472942548,12,C,URA
P0093,,PASIR PANJANG ROAD OFF STREET,1.2767043723268199 103.79566016940372,4,C,URA
P0093,,PASIR PANJANG ROAD OFF STREET,1.2767043723268199 103.79566016940372,0,Y,URA
P0094,,PASIR PANJANG ROAD - SOUTH BUONA VISTA ROAD,1.278902209141637 103.78560248250301,20,C,URA
P0094,,PASIR PANJANG ROAD - SOUTH BUONA VISTA ROAD,1.278902209141637 103.78560248250301,16,Y,URA
P0096,,PENANG ROAD OFF STREET,1.29980874920638 103.84212527391578,20,C,URA
P0106,,PASIR PANJANG ROAD- CLEMENTI ROAD OFF ST,1.2915978691049539 103.76812504370315,22,C,URA
P0106,,PASIR PANJANG ROAD- CLEMENTI ROAD OFF ST,1.2915978691049539 103.76812504370315,0,Y,URA
P0109,,PASIR RIS PARK CAR PARK E OFF STREET,1.3845964153673076 103.94389307173311,23,C,URA
P0109,,PASIR RIS PARK CAR PARK E OFF STREET,1.3845964153673076 103.94389307173311,8,Y,URA
P0111,,PAHANG STREET OFF STREET,1.301759650174214 103.86086565472472,0,C,URA
P0113,,PASIR PANJANG FOOD CENTRE (TEMP) OFF ST,1.2753574846084121 103.79247441821592,0,Y,URA
P0113,,PASIR PANJANG FOOD CENTRE (TEMP) OFF ST,1.2753574846084121 103.79247441821592,0,C,URA
P0117,,PECK SEAH STREET OFF STREET,1.2774732980425016 103.84526725130084,0,C,URA
P0117,,PECK SEAH STREET OFF STREET,1.2774732980425016 103.84526725130084,0,Y,URA
Q0006,,QUEEN STREET OFF STREET,1.2999226816586922 103.85336325926622,0,C,URA
Q0006,,QUEEN STREET OFF STREET,1.2999226816586922 103.85336325926622,0,Y,URA
Q0008,,QUEENSWAY OFF STREET ( RIDEOUT TEA GARDEN),1.304678940975563 103.80216512483725,55,C,URA
